,istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,snr,period,period_h,TIC,Sector,note,dur_over_period,
1952,7490,7503,78353,78366,1336.27846204472,1336.29651728732,202.333472332055,10.1497569118431,0.22873592376709,0.018055242599758,17805,2.22562841888504,0.054508850600415,1.30821241440995,350025862,1,I,0.331235063680109,
193,16439,16450,324523,324534,1678.18144863815,1678.19672615947,725.243310328046,9.53146924703923,1.39473176002502,0.015277521320968,19283,2.0541050016264,0.05523244020011,1.32557856480263,350025862,13,I,0.27660413455601,
393,12515,12524,320585,320594,1672.71209224156,1672.72459204656,402.005604484288,7.62656150604048,0.840887546539306,0.01249980500188,19283,2.0541050016264,0.05523244020011,1.32557856480263,350025862,13,I,0.22631274223251,
959,6304,6312,313592,313600,1662.99976324377,1663.01087416461,222.280810804293,12.8079345623714,0.417982220649719,0.011110920834653,19283,2.0541050016264,0.05523244020011,1.32557856480263,350025862,13,I,0.201166575193809,
1740,15961,15968,324045,324052,1677.51757081727,1677.52729287844,127.859457920373,8.05109321704929,0.248806238174438,0.009722061178309,19283,2.0541050016264,0.05523244020011,1.32557856480263,350025862,13,I,0.176020851932043,
996,8381,8393,143447,143459,1426.68695046452,1426.7036174164,142.510807635578,2.60527778917247,0.406545996665955,0.016666951878278,15477,2.16880105158003,0.091428289902247,2.19427895765392,349306411,4,I,0.182295347491437,
35,6847,6864,531982,531999,1966.31533521978,1966.33894654809,1735.25943111427,24.1231665897076,4.5413670539856,0.023611328309244,16916,2.05803285370057,0.052708118995154,1.26499485588368,346081048,24,I,0.447963781659801,
880,10803,10822,223997,224016,1538.56375711834,1538.59014605797,190.132192675695,1.3625380331359,0.448623776435852,0.026388939627395,13121,2.03120703842158,0.053798176572725,1.29115623774539,340638718,8,I,0.490517361526596,
715,3463,3490,94866,94893,1359.21579308716,1359.25329396993,246.655697919227,2.03323909992181,0.52887487411499,0.037500882778886,18017,4.0033375009338,0.222431998255958,5.338367958143,339607562,2,I,0.168594820317771,
1821,7462,7468,571355,571362,2021.00751054826,2021.01723299234,93.5314925151169,2.6974951353483,0.240565061569214,0.009722444086037,16643,2.07736619361129,0.057104379179906,1.37050510031773,336664287,26,I,0.170257416780711,
